provID,GRADE,SEX,GETHNCC1,OMARKSA1,DVTY1ST,DVSELF,BMI
59,6,2,1,2,3,12,99
59,6,2,1,1,3,11,99
59,6,1,1,2,3,8,99
59,6,2,1,2,3,8,99
59,6,1,1,1,3,11,15.4
59,6,2,1,2,3,9,99
59,6,1,1,99,3,9,99
59,6,1,1,2,3,10,99
59,6,1,1,2,3,7,20.55
59,6,1,1,2,3,8,99
59,6,1,1,2,3,11,38.8
59,6,2,1,2,3,9,99
24,6,2,1,1,3,8,99
24,6,1,1,1,3,9,15.82
24,6,1,1,2,3,11,99
24,6,1,1,3,3,8,99
24,6,2,1,2,3,12,99
24,6,2,1,2,3,9,99
24,6,1,1,1,3,8,22.38
24,6,1,1,1,3,9,21.48
24,6,2,1,99,3,8,99
24,6,1,1,1,3,12,18.92
24,6,2,1,2,3,11,99
24,6,2,1,2,3,12,99
24,6,1,1,2,3,12,16.92
24,6,2,1,3,3,10,99
24,6,2,1,2,3,11,99
24,6,2,1,2,3,9,14.65
24,6,1,1,1,3,4,99
24,6,2,1,3,3,12,99
24,6,2,1,1,3,5,99
24,6,1,1,2,3,10,99
24,6,1,1,1,3,11,16.44
24,6,1,1,1,3,11,15.87
24,6,1,1,1,3,12,99
24,6,2,1,1,3,12,99
24,6,1,1,2,3,10,99
24,6,1,1,2,3,9,99
24,6,1,1,2,3,6,99
24,6,1,1,2,3,11,99
24,6,1,1,1,3,11,99
24,6,1,1,2,3,11,99
24,6,1,1,2,3,11,99
24,6,2,1,2,3,8,99
24,6,2,1,3,3,5,99
24,6,2,1,2,3,11,10.48
24,6,2,1,2,3,9,99
24,6,1,1,2,3,9,21.71
24,6,1,1,2,3,4,17.94
24,6,2,1,3,3,11,99
24,6,2,1,2,3,8,99
24,6,1,1,2,3,7,99
24,6,1,1,2,3,9,19.89
24,6,1,1,3,3,9,20.33
24,6,2,1,2,3,11,99
24,6,2,1,3,3,10,12.5
24,6,2,1,3,3,8,99
24,6,2,1,99,3,3,99
24,6,1,1,2,3,5,99
24,6,1,1,3,3,8,99
24,6,1,1,99,3,9,14.48
24,6,1,1,99,3,10,99
24,6,1,1,3,3,11,99
24,6,1,1,2,3,6,99
24,6,1,1,2,3,10,99
24,6,1,1,2,3,11,12.69
24,6,1,1,2,3,11,17.95
24,6,1,1,2,3,12,21.68
24,6,1,1,3,3,8,99
24,6,1,1,2,3,7,99
24,6,1,1,3,3,10,99
24,6,1,1,2,3,10,99
24,6,1,1,2,3,10,99
59,7,1,1,2,3,4,24.89
59,7,2,1,2,3,8,10.44
59,8,1,1,2,3,4,99
59,8,1,1,2,3,7,19.74
59,7,1,1,1,3,8,99
59,7,2,1,2,3,11,16.83
59,7,1,1,3,3,10,99
59,8,1,1,1,3,11,22.14
59,8,1,1,2,3,11,20.12
35,8,2,1,2,3,11,99
48,7,1,1,1,3,11,13.67
48,7,2,1,2,3,11,15.79
48,7,1,1,1,3,11,20.9
48,8,2,1,2,3,11,17.23
24,8,1,1,3,3,11,15.24
24,7,1,1,2,3,10,99
24,7,1,1,1,3,6,99
24,7,2,1,1,1,12,99
24,7,1,1,2,3,9,18.6
24,7,2,1,2,3,4,16.99
24,7,2,1,2,3,11,99
24,7,2,1,2,3,10,99
24,7,2,1,3,3,11,99
24,8,2,1,2,3,9,19.41
24,8,1,1,1,3,5,16.03
24,7,1,1,1,3,9,14.35
24,7,1,1,2,3,10,16.44
24,7,1,1,2,3,8,99
24,8,1,1,2,3,7,99
24,8,1,1,2,3,4,99
24,8,1,1,2,3,6,99
24,8,1,1,2,3,10,17.01
24,7,1,1,2,3,8,16.22
24,7,2,1,1,3,9,18.12
24,7,1,1,2,3,6,18.42
24,7,2,1,1,3,5,21.66
24,7,2,1,2,3,9,14.95
24,7,2,1,2,3,8,17.57
24,7,1,1,2,3,10,99
24,7,2,1,2,3,9,25.1
24,8,2,1,3,3,2,25.1
24,8,1,1,2,3,10,99
24,8,1,1,2,3,8,17.2
24,8,2,1,2,3,6,23.31
24,8,1,1,1,3,9,19.96
24,8,1,1,2,3,6,99
24,8,1,1,2,3,11,99
24,8,1,1,1,3,10,99
24,8,1,1,1,3,10,22.3
24,8,2,1,1,3,11,16.71
24,8,1,1,1,3,8,99
24,8,2,1,1,3,9,18.15
24,8,1,1,1,3,10,18.49
24,7,1,1,2,3,5,99
24,7,2,1,1,3,8,99
24,8,1,1,2,3,8,16.6
24,8,1,1,3,3,10,16.64
24,7,2,1,5,1,8,20.8
24,8,2,1,1,3,9,99
24,8,2,1,1,3,9,17.77
24,7,1,1,2,3,8,18.42
24,7,2,1,2,3,11,99
24,7,1,1,2,3,9,99
24,7,1,1,2,3,9,99
24,7,2,1,2,3,9,19.97
24,8,1,1,3,3,6,18.52
24,7,1,1,3,3,6,22.86
24,8,1,1,2,3,9,99
24,8,2,1,2,3,5,19.77
24,7,1,1,2,3,10,99
35,7,2,1,2,3,10,99
35,6,1,1,1,3,11,18.67
59,6,1,1,2,3,6,13.69
59,6,2,1,2,3,10,99
59,7,1,1,1,3,7,19.19
59,7,1,1,2,3,8,18.18
35,6,1,1,2,3,10,99
35,6,1,1,3,3,9,99
35,6,2,1,1,3,12,17.63
35,6,1,1,2,3,12,99
35,6,1,1,2,3,9,17.95
35,6,1,1,2,3,4,13.72
35,6,2,1,3,3,9,99
35,6,2,1,3,3,9,15.8
35,6,1,1,99,3,10,99
35,6,2,1,2,3,6,99
59,6,1,1,3,3,11,99
59,7,1,1,2,3,12,14.71
59,7,2,1,1,3,9,99
59,6,1,1,2,3,11,99
59,6,2,1,3,3,9,99
59,7,2,1,1,3,12,99
59,6,1,1,2,3,11,16.27
59,7,1,1,2,3,11,99
59,7,1,1,2,3,10,99
59,7,1,1,2,3,11,99
59,6,2,1,99,3,10,99
59,6,1,1,2,3,10,14.1
59,6,1,1,2,3,9,13.04
59,6,1,1,3,3,9,26.26
59,7,2,1,2,3,8,99
59,7,2,1,2,3,8,99
59,7,1,1,2,3,5,99
